model,variant,lr,polarity_weight,status,loss,match_acc,polarity_acc,swap_match_consistency,swap_polarity_flip
baseline,n/a,0.0003,0.1,ok,0.7157,0.6632,0.5318,1.0000,0.4243
baseline,n/a,0.0003,0.3,ok,0.8730,0.6604,0.5488,0.9897,0.7157
baseline,n/a,0.0003,0.6,ok,1.0613,0.6632,0.5134,1.0000,0.5205
baseline,n/a,0.001,0.1,ok,0.7131,0.6632,0.5248,1.0000,0.4894
baseline,n/a,0.001,0.3,ok,0.8609,0.6632,0.5120,0.9953,0.6223
baseline,n/a,0.001,0.6,ok,1.0610,0.6632,0.5276,1.0000,0.6591
chevron,full,0.0003,0.1,ok,0.7187,0.6632,0.4950,1.0000,0.4752
chevron,full,0.0003,0.3,ok,0.8627,0.6623,0.5134,0.9991,0.6535
chevron,full,0.0003,0.6,ok,1.0637,0.6632,0.4922,1.0000,0.4413
chevron,full,0.001,0.1,ok,0.7161,0.6632,0.5050,1.0000,0.4272
chevron,full,0.001,0.3,ok,0.8591,0.6632,0.5092,1.0000,0.5658
chevron,full,0.001,0.6,ok,1.0681,0.6632,0.5205,1.0000,0.6521
chevron,diag_only,0.0003,0.1,ok,0.7156,0.6632,0.5007,1.0000,0.5021
chevron,diag_only,0.0003,0.3,ok,0.8646,0.6632,0.5446,1.0000,0.7086
chevron,diag_only,0.0003,0.6,ok,1.0578,0.6632,0.5021,1.0000,0.5248
chevron,diag_only,0.001,0.1,ok,0.7171,0.6632,0.4965,1.0000,0.2970
chevron,diag_only,0.001,0.3,ok,0.8560,0.6632,0.5120,1.0000,0.3494
chevron,diag_only,0.001,0.6,ok,1.0591,0.6632,0.5276,1.0000,0.4470
chevron,offdiag_frozen,0.0003,0.1,ok,0.7134,0.6632,0.5007,1.0000,0.4993
chevron,offdiag_frozen,0.0003,0.3,ok,0.8544,0.6632,0.4936,1.0000,0.5361
chevron,offdiag_frozen,0.0003,0.6,ok,1.0583,0.6632,0.5035,1.0000,0.5035
chevron,offdiag_frozen,0.001,0.1,ok,0.7161,0.6632,0.4965,1.0000,0.2786
chevron,offdiag_frozen,0.001,0.3,ok,0.8550,0.6632,0.5191,1.0000,0.3663
chevron,offdiag_frozen,0.001,0.6,ok,1.0654,0.6632,0.5502,1.0000,0.7581
