model,window,n,accuracy,loss,rho,diff,persistence
ChevronSlow,post_shift_200_800,4800,0.8375,0.37746801014282205,1.0,0.4509751614512144,0.49701449044708357
ChevronSlow,pre_shift_last_400,3200,0.9065625,0.2601829818235463,1.0,0.14971266580491685,0.15762311280311533
ChevronSlow,shift_adaptation_200,1600,0.445,1.0964144836608873,1.0,0.7997466388984154,0.6468345163828033
ChevronSlow,transient_bursts,1112,0.45863309352517984,1.4381695439706292,1.0,0.24138902053990063,0.20617507251058606
IDLGated,post_shift_200_800,4800,0.8410416666666667,0.3774677152277711,0.7134516287910181,0.15795092078997722,0.17079330671524137
IDLGated,pre_shift_last_400,3200,0.9046875,0.26102294986142943,0.58004199706325,0.12853892676616174,0.13115750699346107
IDLGated,shift_adaptation_200,1600,0.50375,1.031347492803098,0.9443113106894887,0.4313311025339214,0.3862483489582615
IDLGated,transient_bursts,1112,0.4154676258992806,1.4533146250147857,0.6085355594622411,0.23006210167922844,0.1371913799591497
MLP,post_shift_200_800,4800,0.8358333333333333,0.3809007365562997,1.0,0.0,0.0
MLP,pre_shift_last_400,3200,0.9071875,0.2591626007309056,1.0,0.0,0.0
MLP,shift_adaptation_200,1600,0.523125,0.9502414121530102,1.0,0.0,0.0
MLP,transient_bursts,1112,0.4829136690647482,1.3551746601853023,1.0,0.0,0.0
