seed,model,provisional_acc_all,provisional_acc_one_shot,provisional_acc_recurring_late,n_acc_recurring_final,n_acc_one_shot_final,false_consolidation_gap,background_acc_final,rho_one_shot,rho_recurring_late
0,MLP,0.9544270858168602,0.9479166716337204,0.9934895858168602,1.0,0.9371337890625,0.9371337890625,0.548828125,1.0,1.0
0,ChevronSlow,0.9611235122595515,0.9557291604578495,0.98828125,0.96875,0.4642333984375,0.4642333984375,0.83203125,1.0,1.0
0,IDLGated,0.9255952366760799,0.9095052033662796,0.9739583283662796,0.82568359375,0.1956787109375,0.1956787109375,0.900390625,0.010986942797899246,1.0
1,MLP,0.9791666673762458,0.9759114608168602,1.0,0.46826171875,0.24609375,0.24609375,0.84765625,1.0,1.0
1,ChevronSlow,0.9624255959476743,0.9654947929084301,0.984375,0.2158203125,0.2857666015625,0.2857666015625,0.923828125,1.0,1.0
1,IDLGated,0.9481026775070599,0.8893229179084301,0.9908854141831398,0.39990234375,0.3450927734375,0.3450927734375,0.873046875,0.010986942797899246,1.0
2,MLP,0.953125,0.978515625,0.9674479141831398,0.96142578125,0.8485107421875,0.8485107421875,0.677734375,1.0,1.0
2,ChevronSlow,0.9490327409335545,0.9726562537252903,0.9609375,0.80419921875,0.6885986328125,0.6885986328125,0.767578125,1.0,1.0
2,IDLGated,0.9248511876378741,0.939453125,0.9609374925494194,0.77978515625,0.5821533203125,0.5821533203125,0.798828125,0.010986942797899246,1.0
3,MLP,0.970238093818937,0.9498697891831398,1.0,0.60546875,0.483642578125,0.483642578125,0.82421875,1.0,1.0
3,ChevronSlow,0.9553571407284055,0.9348958283662796,1.0,0.55419921875,0.40234375,0.40234375,0.84765625,1.0,1.0
3,IDLGated,0.9289434530905315,0.9173177145421505,1.0,0.576171875,0.4371337890625,0.4371337890625,0.83984375,0.010986942797899246,1.0
4,MLP,0.9724702366760799,0.9407552070915699,0.984375,0.88720703125,0.7247314453125,0.7247314453125,0.6796875,1.0,1.0
4,ChevronSlow,0.9732142835855484,0.9394531212747097,0.9908854141831398,0.81005859375,0.6744384765625,0.6744384765625,0.71875,1.0,1.0
4,IDLGated,0.9382440479738372,0.91015625,0.9830729141831398,0.77587890625,0.601318359375,0.601318359375,0.69921875,0.010986942797899246,1.0
5,MLP,0.9700520836881229,1.0,1.0,0.77880859375,0.75048828125,0.75048828125,0.69140625,1.0,1.0
5,ChevronSlow,0.9652157734547343,0.96875,1.0,0.732421875,0.705078125,0.705078125,0.689453125,1.0,1.0
5,IDLGated,0.928757439234427,0.930338541045785,0.9986979141831398,0.75,0.7896728515625,0.7896728515625,0.693359375,0.010986942797899246,1.0
6,MLP,0.9713541652475085,0.9713541679084301,0.9947916641831398,0.865234375,0.3265380859375,0.3265380859375,0.794921875,1.0,1.0
6,ChevronSlow,0.9683779765452657,0.9759114608168602,0.9869791716337204,0.88427734375,0.35498046875,0.35498046875,0.8046875,1.0,1.0
6,IDLGated,0.9466145826237542,0.9511718787252903,0.9765625,0.8671875,0.3045654296875,0.3045654296875,0.814453125,0.010986942797899246,1.0
7,MLP,0.9322916663118771,0.9388020820915699,0.9596354141831398,0.59375,0.4459228515625,0.4459228515625,0.751953125,1.0,1.0
7,ChevronSlow,0.9315476209989616,0.9427083358168602,0.9739583358168602,0.568359375,0.46728515625,0.46728515625,0.802734375,1.0,1.0
7,IDLGated,0.9077380943511214,0.9212239570915699,0.9700520783662796,0.60302734375,0.484619140625,0.484619140625,0.82421875,0.010986942797899246,1.0
