model,window,n,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
ChevronSlow,post_shift_retained,10000,0.9706421875,0.13824803171157837,1.0,0.2213409088297236,0.07818137212604007,0.2331743860247701,0.3530892675401735,0.04130675267798453,0.4487617943901327,0.3360099581271227
ChevronSlow,pre_shift_stable_300,2400,0.97431640625,0.11495320053615918,1.0,0.05719503890117538,4.878188871756343e-07,0.05640374931257057,0.1325622407380086,0.013776018597409123,0.2774709302348026,0.0
ChevronSlow,pre_temp_stable_300,2400,0.970859375,0.1262699939690841,1.0,0.09504102235729682,0.001105411796405352,0.09573489701103266,0.30216280530719625,0.026229089662653148,0.0,0.0
ChevronSlow,recovery_after_temp_350,2800,0.942109375,0.18440854172621454,1.0,0.5108618518513093,0.2873161585712542,0.5975289086322132,0.38045468048455805,0.11151004030488705,0.12053627667240432,0.0
ChevronSlow,shift_adaptation_350,2800,0.8991573660714286,0.3024879766867629,1.0,1.111215163107423,0.5726489475194804,1.0668978594298333,0.30271045264424606,0.11449843667175195,0.3216526179174314,0.149943113340044
ChevronSlow,temporary_difference,400,0.681171875,0.8126725327968597,1.0,1.5784408048750351,0.06919524583585622,0.8919175546890173,0.29957345532365115,0.07206804193834003,0.05017241478730322,0.0
IDLGated,post_shift_retained,10000,0.9705484375,0.14045970625281334,0.06492920997203327,0.4832089517873961,0.06924170736516559,0.4776908564828148,0.5457944718355047,0.1248332642745391,0.44173706806037855,0.31960129862861963
IDLGated,pre_shift_stable_300,2400,0.9740950520833334,0.11596348621882498,0.0020544962615531405,0.34653316094540665,0.020183663899656583,0.3453866910831544,0.3283166940470001,0.15884181560488891,0.24136840786407135,0.0
IDLGated,pre_temp_stable_300,2400,0.9709375,0.12662814831128344,0.04877712602416674,0.4381805992569044,0.1252313204687982,0.4355731916078061,0.32384967979104945,0.14651193114483282,0.0,0.0
IDLGated,recovery_after_temp_350,2800,0.9432979910714285,0.1822536614271147,0.8011017968485664,0.5865073714339558,0.5537093967178695,0.7680868974797902,0.5243952125117263,0.08026857400989955,0.18696023044643859,0.0
IDLGated,shift_adaptation_350,2800,0.8918136160714286,0.30846838562749324,0.8991865626109316,1.4889115393469428,0.8010938455170131,1.4862266375036561,0.5913677241634726,0.11887261832896355,0.35110673475966936,0.19394990639046042
IDLGated,temporary_difference,400,0.6687109375,0.8323353262245655,0.4606639848370105,2.73534160747114,0.24187028157514487,1.6201565031853788,0.3891409298113892,0.1844649878251764,0.02408097030282473,0.0
MLP,post_shift_retained,10000,0.969234375,0.14309913298208266,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_shift_stable_300,2400,0.97375,0.1168804297122794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_temp_stable_300,2400,0.97005859375,0.12885994502653678,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,recovery_after_temp_350,2800,0.9427957589285715,0.1839476347335481,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,shift_adaptation_350,2800,0.8879966517857143,0.31774213142160856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,temporary_difference,400,0.679296875,0.8086890699714422,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
