model,window,n,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
ChevronSlow,post_shift_retained,7500,0.9707020833333333,0.13761723980456592,1.0,0.2266313882720681,0.07938222657190977,0.23866037127861706,0.3533772439641307,0.042330759093841576,0.4445666651389776,0.33633168087528154
ChevronSlow,pre_shift_stable_300,1800,0.9746788194444445,0.11431285151590903,1.0,0.058582553673086554,5.116498393237863e-07,0.05842593242748381,0.13491799023512144,0.013958224685796121,0.27653164829826676,0.0
ChevronSlow,pre_temp_stable_300,1800,0.97125,0.12579756886387863,1.0,0.09675032631022097,0.0011366184291307865,0.09763900781343376,0.3030391359131322,0.026466858349105907,0.0,0.0
ChevronSlow,recovery_after_temp_350,2100,0.9429836309523809,0.18196852497401692,1.0,0.5236877897190091,0.28726393871670425,0.6082440139253267,0.3816900597731607,0.10787915099135659,0.11840795780184488,0.0
ChevronSlow,shift_adaptation_350,2100,0.898735119047619,0.30420831964484285,1.0,1.0881888465499572,0.5558443092784453,1.0429725856015393,0.29998466496010734,0.11754031430603876,0.32041485789550933,0.1478456778817649
ChevronSlow,temporary_difference,300,0.6761458333333333,0.8295966047545275,1.0,1.5863608085701073,0.06979653197604507,0.8975673043266348,0.30078667829489364,0.07112103070301826,0.050859117657502666,0.0
IDLGated,post_shift_retained,7500,0.97060625,0.14155399643182753,0.06605420552212744,0.5011227558206295,0.07171189061878781,0.49577195831495136,0.5641337357860262,0.12742677089953186,0.4432591876800529,0.3203776996211374
IDLGated,pre_shift_stable_300,1800,0.9743663194444444,0.11545854109028975,0.002403529616810071,0.3817584877466214,0.026904681188346137,0.3808036306420352,0.34921998696154116,0.16197084066028639,0.2411834779121123,0.0
IDLGated,pre_temp_stable_300,1800,0.9707899305555555,0.12728282613472805,0.04675569528713822,0.44352138752990256,0.1249008271424902,0.4405529752263881,0.3257822180129712,0.14631417104386202,0.0,0.0
IDLGated,recovery_after_temp_350,2100,0.9434002976190476,0.18280859719074907,0.79810401441352,0.5923490054576045,0.547974530389706,0.7703996928860721,0.5249249733002226,0.08064363337180425,0.18680809761062445,0.0
IDLGated,shift_adaptation_350,2100,0.8906175595238095,0.31154072567465757,0.8996651609973162,1.5001335156772542,0.7974610366132514,1.498338214374456,0.6117183867874199,0.11966973452269065,0.3518902691456827,0.1963870738018355
IDLGated,temporary_difference,300,0.6660416666666666,0.844321299145619,0.4597838521935046,2.691309139067951,0.24052547374449604,1.5962037430216816,0.390483933439016,0.18258548314395542,0.02469899004690939,0.0
MLP,post_shift_retained,7500,0.9691708333333333,0.14273193315093716,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_shift_stable_300,1800,0.973984375,0.11647612700859705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_temp_stable_300,1800,0.9698784722222222,0.12912092032428418,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,recovery_after_temp_350,2100,0.9427306547619048,0.18418215218399253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,shift_adaptation_350,2100,0.8876041666666666,0.31885433281106607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,temporary_difference,300,0.6803645833333334,0.8090967634320259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
