seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
0,0,MLP,stable,other,0.171875,0.722503662109375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,ChevronSlow,stable,other,0.453125,0.7310880422592163,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,IDLGated,stable,other,0.453125,0.713060736656189,0.001006770646199584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,MLP,stable,other,0.359375,0.7047201991081238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,ChevronSlow,stable,other,0.421875,0.7224674224853516,1.0,0.024959793389816534,7.787455537622772e-06,0.0009983917355926623,2.4959793389816555e-05,0.00258956738789332,0.0,0.0
0,1,IDLGated,stable,other,0.421875,0.7028152942657471,0.0010069390991702676,0.017879804819737763,5.578499103758192e-06,0.0007151921927895112,1.787980481973778e-05,0.0026559069744238628,0.0,0.0
0,2,MLP,stable,other,0.609375,0.6903266906738281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,ChevronSlow,stable,other,0.296875,0.7249085903167725,1.0,0.05709575471572431,3.300720122520804e-05,0.00324228625479793,8.203058831215111e-05,0.005047814092770473,0.0,0.0
0,2,IDLGated,stable,other,0.296875,0.7042967081069946,0.0010074918391183019,0.04167256304170241,2.3885491420443407e-05,0.0023534870267460286,5.9534488056620484e-05,0.0050570475976218585,0.0,0.0
0,3,MLP,stable,other,0.8125,0.6705387234687805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,ChevronSlow,stable,other,0.421875,0.6909759640693665,1.0,0.07921539465536527,8.17035167229378e-05,0.006281210590820626,0.0001611639523792043,0.0072429119249036965,0.0,0.0
0,3,IDLGated,stable,other,0.796875,0.6710370779037476,0.0010085736867040396,0.058981162340110735,5.9695510876055446e-05,0.004618594039280619,0.00011845611590867466,0.007125402174057491,0.0,0.0
0,4,MLP,stable,other,0.75,0.6637682914733887,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,ChevronSlow,stable,other,0.703125,0.6684175729751587,1.0,0.1001236758786228,0.00015924015049337248,0.010034909202332716,0.000261126464305448,0.009384229439285052,0.0,0.0
0,4,IDLGated,stable,other,0.828125,0.6637939810752869,0.0010103221284225583,0.07612378327878638,0.00011749266811536145,0.0074788016088608526,0.00019446144307155242,0.009309972706667983,0.0,0.0
0,5,MLP,stable,other,0.734375,0.6498720645904541,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,ChevronSlow,stable,other,0.859375,0.6657141447067261,1.0,0.13068122887219802,0.00027371995266873753,0.014860761989127332,0.00039154656671334075,0.011447994520844478,0.0,0.0
0,5,IDLGated,stable,other,0.8125,0.6572120785713196,0.0010129290167242289,0.09947688341633859,0.00020347257489935979,0.011158724881159966,0.0002937438650448196,0.011442242612081946,0.0,0.0
0,6,MLP,stable,other,0.75,0.6416226029396057,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,ChevronSlow,stable,other,0.828125,0.6485675573348999,1.0,0.12669085833579935,0.00042205915276348206,0.019333965842994218,0.0005178458784824268,0.013494876340094972,0.0,0.0
0,6,IDLGated,stable,other,0.84375,0.6433472037315369,0.0010163766564801335,0.10149432610381309,0.0003168624301624251,0.014772148930066096,0.0003949444472835879,0.013583759184545583,0.0,0.0
0,7,MLP,stable,other,0.875,0.5988671779632568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,ChevronSlow,stable,other,0.875,0.6267575621604919,1.0,0.1707839273072123,0.0006163134982745888,0.025391964301562948,0.0006881119599111569,0.015275161869167676,0.0,0.0
0,7,IDLGated,stable,other,0.859375,0.6177833080291748,0.0010210745967924595,0.1477619367487278,0.00047072296274694615,0.020091740442812568,0.0005423114395850323,0.015512733555879584,0.0,0.0
0,8,MLP,stable,other,0.75,0.6264712810516357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,ChevronSlow,stable,other,0.828125,0.6375167369842529,1.0,0.15509415764310888,0.0008492832625254358,0.030580052035224792,0.0008425180055943547,0.017102514574819132,0.0,0.0
0,8,IDLGated,stable,other,0.734375,0.6383890509605408,0.001026820857077837,0.13160811499024452,0.000657989324497564,0.024552395424709852,0.0006733772431356919,0.017530458446842416,0.0,0.0
0,9,MLP,stable,other,0.828125,0.6050073504447937,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,ChevronSlow,stable,other,0.8125,0.6274846196174622,1.0,0.19476714777066315,0.0011313777422594959,0.03714753586464233,0.0010364426353594238,0.018892795802553795,0.0,0.0
0,9,IDLGated,stable,other,0.828125,0.6204295754432678,0.0010337826097384095,0.15239666909600846,0.0008834539365941696,0.0296661663715618,0.0008251005349885648,0.019499125393783075,0.0,0.0
0,10,MLP,stable,other,0.859375,0.5803474187850952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,ChevronSlow,stable,other,0.890625,0.5920066833496094,1.0,0.20978949249660137,0.0014647908678790205,0.044053214129920706,0.001245195685220666,0.02067186617604488,0.0,0.0
0,10,IDLGated,stable,other,0.859375,0.6024677157402039,0.001042089657858014,0.16948895582264906,0.0011505088135760492,0.0352590779496053,0.0009937643902762255,0.02148386251988441,0.0,0.0
0,11,MLP,stable,other,0.75,0.5892255306243896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,ChevronSlow,stable,other,0.765625,0.6144888401031494,1.0,0.2139074883711788,0.001848188757909304,0.05084738509957104,0.0014578579779066243,0.022484372657987077,0.0,0.0
