model,window,n,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
ChevronSlow,post_shift_retained,5000,0.97135,0.13624336479082705,1.0,0.22493252329957858,0.3345173676439107,0.04595070965655129,0.4603864373228282,0.34202516995372323
ChevronSlow,pre_shift_stable_300,1200,0.9746354166666666,0.11522968024325868,1.0,0.0581780571446559,0.208612732981306,0.013879964905188525,0.31693803692336353,0.0
ChevronSlow,pre_temp_stable_300,1200,0.9707421875,0.12720320091893275,1.0,0.10052810799654371,0.24450250197258067,0.027288825399967187,0.0,0.0
ChevronSlow,recovery_after_temp_350,1400,0.9412834821428572,0.19027028199684407,1.0,0.676141881061082,0.33776187466261237,0.12400405709261918,0.15050253928704657,0.0
ChevronSlow,shift_adaptation_350,1400,0.9037834821428572,0.2979827796268676,1.0,1.1401957960602174,0.2877799928976226,0.13151370322090022,0.34713756583861866,0.15572608866551135
ChevronSlow,temporary_difference,400,0.777109375,0.5595867466181517,1.0,1.4782787189546263,0.2646149250197874,0.09268460755910558,0.07067920461117413,0.0
IDLGated,post_shift_retained,5000,0.9709,0.1364988167848438,0.6989233454346657,0.07957504258261516,0.27652541866705094,0.01636277876281993,0.4786004234880105,0.35908850654086816
IDLGated,pre_shift_stable_300,1200,0.9744401041666667,0.11585834698751568,0.18855277296776574,0.08428179606813888,0.1904244231285913,0.027455517689925154,0.3034635890338514,0.0
IDLGated,pre_temp_stable_300,1200,0.9706119791666666,0.12734608109807596,0.7963253308832645,0.07725731820415871,0.28628194978887805,0.011430399416194054,0.0,0.0
IDLGated,recovery_after_temp_350,1400,0.9402901785714286,0.1989249804349882,0.9467222010663577,0.4046031851125044,0.3383073715931468,0.05690371149435217,0.20976411771669043,0.0
IDLGated,shift_adaptation_350,1400,0.9010379464285714,0.3008751230607075,0.7928452343919448,1.2182193796151828,0.30312437921917573,0.1024530037390518,0.35812195012383546,0.17038708484076842
IDLGated,temporary_difference,400,0.7810546875,0.556233616322279,0.8348784643411636,1.2021344970489596,0.2963511443516802,0.08068487685334251,0.07800001046564004,0.0
MLP,post_shift_retained,5000,0.96853125,0.14410478605367244,1.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_shift_stable_300,1200,0.97375,0.11739770357497037,1.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_temp_stable_300,1200,0.9697135416666667,0.13024511901506533,1.0,0.0,0.0,0.0,0.0,0.0
MLP,recovery_after_temp_350,1400,0.9409040178571428,0.19224319783571575,1.0,0.0,0.0,0.0,0.0,0.0
MLP,shift_adaptation_350,1400,0.8961607142857143,0.3053128955779331,1.0,0.0,0.0,0.0,0.0,0.0
MLP,temporary_difference,400,0.7715234375,0.5659282353892923,1.0,0.0,0.0,0.0,0.0,0.0
